D,string,u
D,1963-09-02 18:00:00,2.8
D,1963-09-03 18:00:00,3.0
D,1963-09-04 18:00:00,3.1
D,1963-09-05 18:00:00,3.2
D,1963-09-06 18:00:00,3.3
D,1963-09-07 18:00:00,3.7
D,1963-09-08 18:00:00,4.1
D,1963-09-09 18:00:00,4.5
D,1963-09-10 18:00:00,4.7
D,1963-09-11 18:00:00,5.2
D,1963-09-12 18:00:00,5.8
D,1963-09-13 18:00:00,6.4
D,1963-09-14 18:00:00,6.5
D,1963-09-15 18:00:00,6.5
D,1963-09-16 18:00:00,6.5
D,1963-09-17 18:00:00,6.8
D,1963-09-18 18:00:00,6.7
D,1963-09-19 18:00:00,7.1
D,1963-09-20 18:00:00,7.5
D,1963-09-21 18:00:00,8.6
D,1963-09-22 18:00:00,9.7
D,1963-09-23 18:00:00,10.7
D,1963-09-24 18:00:00,11.0
D,1963-09-25 18:00:00,11.0
D,1963-09-26 18:00:00,11.1
D,1963-09-27 18:00:00,11.3
D,1963-09-28 18:00:00,11.3
D,1963-09-29 18:00:00,11.3
D,1963-09-30 18:00:00,12.1
D,1963-10-01 18:00:00,13.0
D,1963-10-02 18:00:00,14.2
D,1963-10-03 18:00:00,15.1
D,1963-10-04 18:00:00,15.9
D,1963-10-05 18:00:00,16.2
D,1963-10-06 18:00:00,16.0
D,1963-10-07 18:00:00,15.3
D,1963-10-08 18:00:00,15.2
D,1963-10-09 18:00:00,15.9
D,1963-10-10 18:00:00,16.7
D,1963-10-11 18:00:00,17.5
D,1963-10-12 18:00:00,17.9
D,1963-10-13 18:00:00,18.6
D,1963-10-14 18:00:00,19.5
D,1963-10-15 18:00:00,20.7
D,1963-10-16 18:00:00,22.3
D,1963-10-17 18:00:00,23.9
D,1963-10-18 18:00:00,24.9
D,1963-10-19 18:00:00,25.6
D,1963-10-20 18:00:00,26.0
D,1963-10-21 18:00:00,26.5
D,1963-10-22 18:00:00,26.2
D,1963-10-23 18:00:00,25.3
D,1963-10-24 18:00:00,24.1
D,1963-10-25 18:00:00,23.2
