,D_d,string,ar,latcent,kurtosis,area,form,D_msw,u,scaled_area,scaled_ar,scaled_latcent,scaled_u,ssa_scaled_u,eeof_scaled_u,y
519,D,1967-02-04 18:00:00,2.0309,79.565,0.12323,26766000.0,0,D,34.8,-0.09249422545587418,1.0516359848384307,0.12072030027051497,0.5693351385157234,-0.6768568345578504,-0.5400707245394899,0
520,D,1967-02-05 18:00:00,1.9708,79.991,0.22533,25582000.0,0,D,38.3,-0.1775487117934027,0.9153840843543023,0.20152504122286885,0.784389517879098,-0.4523068085788613,-0.3162043300334605,0
521,D,1967-02-06 18:00:00,1.8895,80.639,0.22978,24417000.0,0,D,43.1,-0.26123830350220395,0.7310699494231927,0.32443929506588476,1.0793212381488693,-0.1469306578748193,-0.011689395423672533,0
522,D,1967-02-07 18:00:00,1.6452,80.319,0.18978,24194000.0,0,D,46.5,-0.27725785624989724,0.1772207100176578,0.26374089810637164,1.2882312066732902,0.07347231537990195,0.2074034203591164,0
523,D,1967-02-08 18:00:00,1.4403,80.021,0.15727,24455000.0,0,D,47.4,-0.2585085142447495,-0.2873053200854702,0.20721551593782356,1.3435309042238721,0.14137080711503347,0.26393442108641807,0
524,D,1967-02-09 18:00:00,1.3088,79.932,0.14327,23615000.0,0,D,46.9,-0.31885122414637446,-0.5854271988485804,0.19033377428345888,1.3128088500291044,0.12433986402346009,0.2348689830106656,0
525,D,1967-02-10 18:00:00,1.3603,80.222,0.13833,24299000.0,0,D,46.9,-0.2697150175121941,-0.4686722425269058,0.24534169652801727,1.3128088500291044,0.13906699960350233,0.23719849863815545,0
526,D,1967-02-11 18:00:00,1.4092,80.522,0.15061,23337000.0,0,D,48.3,-0.33882178766143606,-0.3578117111845782,0.30224644367756415,1.398830601774454,0.24080086416001767,0.32635975725215083,0
527,D,1967-02-12 18:00:00,1.4945,82.054,0.14896,22759000.0,0,D,49.7,-0.38034331899850654,-0.1644292301313973,0.5928400191212386,1.4848523535198044,0.343493774646072,0.4163999211346441,0
528,D,1967-02-13 18:00:00,1.5575,83.871,0.14231,22505000.0,0,D,49.6,-0.39858980508780745,-0.021602778708766104,0.9374931043569799,1.4787079426808507,0.3549415618355467,0.41517748292427403,0
529,D,1967-02-14 18:00:00,1.4864,82.849,0.13526,23355000.0,0,D,49.3,-0.3375287295921155,-0.18279263102859267,0.7436375990675325,1.4602747101639897,0.3549319163300242,0.4027600220417784,0
530,D,1967-02-15 18:00:00,1.3681,80.821,0.14207,24450000.0,0,D,47.4,-0.258867697041783,-0.45098896758886575,0.35896150833660895,1.3435309042238721,0.2573353321396188,0.29317269722999395,0
531,D,1967-02-16 18:00:00,1.2805,80.569,0.14269,23602000.0,0,D,45.4,-0.3197850994186615,-0.6495857476622384,0.3111615207309923,1.2206426874448009,0.1541576817527477,0.17863567701319472,0
532,D,1967-02-17 18:00:00,1.3311,80.819,0.14283,23740000.0,0,D,43.6,-0.3098716542205374,-0.5348711692180301,0.3585821433556129,1.110043292343637,0.06366060846937405,0.07734672007329113,0
533,D,1967-02-18 18:00:00,1.5033,81.014,0.1493,23172000.0,0,D,43.2,-0.35067481996354094,-0.14447886866283902,0.3955702290028157,1.085465648987823,0.05940524628652044,0.06280665403777119,0
534,D,1967-02-19 18:00:00,1.6717,81.281,0.14686,23813000.0,0,D,42.9,-0.3046275853838486,0.2372985030763834,0.4462154539659124,1.067032416470962,0.06137611515763863,0.05499387731146266,0
535,D,1967-02-20 18:00:00,1.8349,81.734,0.09399,24518000.0,0,D,42.2,-0.25398281100212766,0.6072870248569128,0.5321416221617228,1.0240215405982873,0.03871489414011131,0.023124020754839103,0
536,D,1967-02-21 18:00:00,1.8521,81.806,0.11162,24636000.0,0,D,41.4,-0.24550609699213746,0.6462809131818217,0.5457987614776141,0.9748662538866585,0.00970938924721576,-0.014487770259932309,0
537,D,1967-02-22 18:00:00,1.8047,81.042,0.10693,24729000.0,0,D,41.3,-0.2388252969673147,0.5388210116352706,0.4008813387367743,0.9687218430477048,0.023368394573081264,-0.008771901537933613,0
538,D,1967-02-23 18:00:00,1.6892,81.009,0.12795,23555000.0,0,D,42.0,-0.3231614177107762,0.27697251736044765,0.39462181655032413,1.01173271892038,0.08570987066053692,0.04651503185823258,0
539,D,1967-02-24 18:00:00,1.3552,81.448,0.14045,22521000.0,0,D,43.5,-0.3974404201373003,-0.4802343838325476,0.4778924298791566,1.1038988815046833,0.19662950866672624,0.15161619302800644,0
540,D,1967-02-25 18:00:00,1.1235,81.372,0.14389,22847000.0,0,D,46.3,-0.37402170177071725,-1.0055183329535564,0.4634765606012732,1.2759423849953828,0.38676759991122633,0.3373876114851251,0
541,D,1967-02-26 18:00:00,1.0704,81.519,0.14362,22542000.0,0,D,48.5,-0.39593185238975964,-1.1259006277240595,0.4913598867045511,1.4111194234523614,0.5393347020666006,0.48687333632429386,0
542,D,1967-02-27 18:00:00,1.2982,81.793,0.14447,22491000.0,0,D,49.8,-0.3995955169195012,-0.6094583160720706,0.5433328891011355,1.4909967643587576,0.6358409244818176,0.5815134037276937,0
543,D,1967-02-28 18:00:00,1.5137,82.856,0.13512,22353000.0,0,D,49.7,-0.4095089621176253,-0.12090116874545243,0.7449653765010201,1.4848523535198044,0.6454896284562649,0.5905256366067533,0
544,D,1967-03-01 18:00:00,1.5461,83.118,0.13819,22194000.0,0,D,49.8,-0.42093097506329,-0.0474475651566709,0.7946621890116226,1.4909967643587576,0.666485617694594,0.6122692118067083,0
545,D,1967-03-02 18:00:00,1.4874,82.899,0.14216,21702000.0,0,D,48.6,-0.45627456229138463,-0.18052554449807448,0.753121723592456,1.417263834291315,0.6065671294569384,0.5541476403076712,0
546,D,1967-03-03 18:00:00,1.2591,82.152,0.16209,21229000.0,0,D,46.5,-0.490253254890752,-0.6981013994153221,0.6114289031900897,1.2882312066732902,0.49018976879317266,0.4400347353674573,0
547,D,1967-03-04 18:00:00,1.2194,81.566,0.15915,21558000.0,0,D,43.3,-0.4666190268459489,-0.7881047346768849,0.5002749637579792,1.0916100598267762,0.30492793491001513,0.25744210086475294,0
